Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-08-16 00:00:00-04:00,129.27999877929688,130.8979949951172,128.4600067138672,129.11000061035156,17548400,0.0,0.0
2023-08-17 00:00:00-04:00,130.4499969482422,132.49099731445312,129.85000610351562,130.4600067138672,23665600,0.0,0.0
2023-08-18 00:00:00-04:00,129.05999755859375,129.8300018310547,127.0,128.11000061035156,23619400,0.0,0.0
2023-08-21 00:00:00-04:00,127.8499984741211,129.25999450683594,127.16000366210938,128.92999267578125,21851100,0.0,0.0
2023-08-22 00:00:00-04:00,129.1300048828125,130.9499969482422,128.9250030517578,129.69000244140625,15569400,0.0,0.0
2023-08-23 00:00:00-04:00,130.85000610351562,134.07000732421875,130.50999450683594,133.2100067138672,26497000,0.0,0.0
2023-08-24 00:00:00-04:00,134.7270050048828,134.97000122070312,130.3000030517578,130.4199981689453,18680400,0.0,0.0
2023-08-25 00:00:00-04:00,130.13999938964844,131.39999389648438,128.0399932861328,130.69000244140625,20678100,0.0,0.0
2023-08-28 00:00:00-04:00,132.0800018310547,133.24000549316406,130.85000610351562,131.7899932861328,16715500,0.0,0.0
2023-08-29 00:00:00-04:00,132.9980010986328,137.2949981689453,132.97999572753906,135.49000549316406,30803300,0.0,0.0
2023-08-30 00:00:00-04:00,135.57000732421875,137.25,135.02099609375,136.92999267578125,21773400,0.0,0.0
2023-08-31 00:00:00-04:00,137.0500030517578,138.39999389648438,136.82000732421875,137.35000610351562,28147900,0.0,0.0
2023-09-01 00:00:00-04:00,138.42999267578125,138.5800018310547,135.94000244140625,136.8000030517578,16665700,0.0,0.0
2023-09-05 00:00:00-04:00,136.44000244140625,137.3699951171875,135.55999755859375,136.7100067138672,17730200,0.0,0.0
2023-09-06 00:00:00-04:00,137.01499938964844,137.47999572753906,134.69000244140625,135.3699951171875,15814300,0.0,0.0
2023-09-07 00:00:00-04:00,134.60000610351562,136.5800018310547,133.9600067138672,136.1999969482422,16976000,0.0,0.0
2023-09-08 00:00:00-04:00,135.8699951171875,137.51499938964844,135.8699951171875,137.1999969482422,17810700,0.0,0.0
2023-09-11 00:00:00-04:00,137.3800048828125,138.26400756835938,136.5500030517578,137.74000549316406,17180800,0.0,0.0
2023-09-12 00:00:00-04:00,137.1300048828125,137.63999938964844,135.92999267578125,136.07000732421875,15212900,0.0,0.0
2023-09-13 00:00:00-04:00,135.89999389648438,137.6999969482422,134.92999267578125,137.5,16394900,0.0,0.0
2023-09-14 00:00:00-04:00,138.38999938964844,139.5500030517578,137.05999755859375,138.99000549316406,19064600,0.0,0.0
2023-09-15 00:00:00-04:00,138.8000030517578,139.36000061035156,137.17999267578125,138.3000030517578,48947600,0.0,0.0
